"Config","Variance","Benchmarks","Missing"
"ETH:RL3:10: 10:2: 65536:BZIP2: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3:10: 10:2: 65536:None:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3:10: 10:2: 65536:None: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3:10: 10:2: 65536:None: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3:10: 10:2: 65536:ZLIB:128:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3:10: 10:2: 65536:ZLIB:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3:10: 10:2: 65536:ZLIB: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3:10: 10:2: 65536:ZLIB: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:1: 65536:None: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:BZIP2:128:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:BZIP2:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:BZIP2: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:BZIP2: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:Snappy:128:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:Snappy:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:Snappy: 32:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RL3: 8: 10:2: 65536:ZLIB:256:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:RR1:10: 10:3: 65536:Snappy: 64:Azure L",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,terasort,wordcount"
"ETH:SSD:12:100:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:100:2: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:100:3: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:1:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:2: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 10:3: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 20:1: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:1: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:3:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:3: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12: 50:3: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:1: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:12:  5:3: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:24:100:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:24:100:2: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:24:100:3: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:24: 10:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:24: 10:2: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:24: 10:3: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"ETH:SSD:32: 10:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12:100:1: 65536:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:1:  4096:None:  0:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,terasort"
"IB:HDD:12: 10:3:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 10:3: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:131072:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:131072:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:131072:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 32768:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 32768:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 32768:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 32768:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:  4096:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:  4096:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:  4096:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3:  4096:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 65536:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 65536:None:256:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 65536:None: 32:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 20:3: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 50:1: 65536:None: 64:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"IB:HDD:12: 50:3:131072:None:128:Local 1",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
