"Config","Variance","Benchmarks","Missing"
"ETH:RL3: 8: 10:3: 65536:None: 32:Azure L",1965230.66666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"IB:HDD:12: 20:1: 32768:None:256:Local 1",1962048.96666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:3: 65536:None: 64:Azure L",1942864.7,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3: 8: 10:3: 65536:Snappy: 32:Azure L",1931364.56666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12: 10:3: 32768:None: 32:Local 1",1924946.8,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:24: 10:2: 65536:None: 64:Local 1",1915692.16666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:RL3:10: 10:3: 65536:BZIP2: 64:Azure L",1910161.1,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:HDD:12:  5:3: 65536:None:256:Local 1",1909976.2,5,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3:10: 10:3: 65536:ZLIB:128:Azure L",1905255.76666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3: 8: 10:3: 65536:Snappy:256:Azure L",1905183.76666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3:10: 10:3: 65536:ZLIB: 32:Azure L",1894160.96666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3: 8: 10:3: 65536:None: 64:Azure L",1879650.7,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"IB:HDD:12:  5:1: 65536:None:128:Local 1",1879200.8,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:3: 65536:Snappy: 32:Azure L",1877469.46666667,6,"bayes,hivebench_agregation,hivebench_join,terasort"
"ETH:RL3: 8: 10:3: 65536:BZIP2: 32:Azure L",1872306,6,"bayes,hivebench_agregation,hivebench_join,terasort"
