"Maps:IO.SFac:Rep:IO.FBuf:Comp:Blk.size","Variance","Benchmarks","Missing"
"24: 10:3: 65536:ZLIB: 64",47367.3666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:2: 65536:ZLIB: 64",38652.3,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:2: 65536:None: 64",31655.8666666667,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"24: 10:3: 65536:None: 64",31158.8,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"16: 10:3: 65536:ZLIB: 64",21952,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"16: 10:3: 65536:None: 64",13085.2,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"12:100:1: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:100:2: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12:100:3: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 10:2: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 10:3: 65536:None:  0",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 50:1: 65536:None: 64",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 50:3:131072:None: 32",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
"12: 50:3: 32768:None:256",NA,1,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,pagerank,sort,wordcount"
