"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Cl.Name","Datanodes","Headnodes","VM.OS","VM.Cores","VM.RAM","Provider","VM.Size","Type"
8907,120,"prep_bayes","IB","HDD",12,20,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8908,118,"prep_kmeans","IB","HDD",12,20,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8909,316,"prep_pagerank","IB","HDD",12,20,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8910,121,"prep_bayes","IB","HDD",12,20,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8911,128,"prep_kmeans","IB","HDD",12,20,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8912,1111,"wordcount","IB","HDD",12,20,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8913,2427,"sort","IB","HDD",12,20,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8914,320,"prep_pagerank","IB","HDD",12,20,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8915,123,"prep_bayes","IB","HDD",12,20,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8916,122,"prep_kmeans","IB","HDD",12,20,1,131072,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8917,310,"prep_pagerank","IB","HDD",12,20,1,131072,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8918,121,"prep_bayes","IB","HDD",12,20,1,131072,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8931,127,"prep_kmeans","IB","HDD",12,20,1,65536,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8932,307,"prep_pagerank","IB","HDD",12,20,1,65536,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8933,123,"prep_bayes","IB","HDD",12,20,1,65536,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8934,2625,"sort","IB","HDD",12,20,1,65536,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8935,364,"prep_pagerank","IB","HDD",12,20,1,65536,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8936,182,"prep_bayes","IB","HDD",12,20,1,65536,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8937,193,"prep_kmeans","IB","HDD",12,20,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8938,1065,"wordcount","IB","HDD",12,20,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8939,2630,"sort","IB","HDD",12,20,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8940,370,"prep_pagerank","IB","HDD",12,20,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8941,122,"prep_bayes","IB","HDD",12,20,1,65536,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8942,124,"prep_kmeans","IB","HDD",12,20,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8943,825,"wordcount","IB","HDD",12,20,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8944,307,"prep_pagerank","IB","HDD",12,20,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8945,121,"prep_bayes","IB","HDD",12,20,1,65536,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8946,130,"prep_kmeans","IB","HDD",12,50,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8947,312,"prep_pagerank","IB","HDD",12,50,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8948,124,"prep_bayes","IB","HDD",12,50,1,32768,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8949,121,"prep_kmeans","IB","HDD",12,50,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8950,1051,"wordcount","IB","HDD",12,50,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8951,3070,"sort","IB","HDD",12,50,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8952,310,"prep_pagerank","IB","HDD",12,50,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8953,124,"prep_bayes","IB","HDD",12,50,1,32768,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8954,127,"prep_kmeans","IB","HDD",12,50,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8955,310,"prep_pagerank","IB","HDD",12,50,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8956,124,"prep_bayes","IB","HDD",12,50,1,32768,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8957,127,"prep_kmeans","IB","HDD",12,50,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8958,882,"wordcount","IB","HDD",12,50,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8959,3208,"sort","IB","HDD",12,50,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8960,303,"prep_pagerank","IB","HDD",12,50,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8961,121,"prep_bayes","IB","HDD",12,50,1,32768,"Cmp0",64,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8962,131,"prep_kmeans","IB","HDD",12,50,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8963,1012,"wordcount","IB","HDD",12,50,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8964,2709,"sort","IB","HDD",12,50,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8965,306,"prep_pagerank","IB","HDD",12,50,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8966,120,"prep_bayes","IB","HDD",12,50,1,131072,"Cmp0",32,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8967,126,"prep_kmeans","IB","HDD",12,50,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8968,310,"prep_pagerank","IB","HDD",12,50,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8969,122,"prep_bayes","IB","HDD",12,50,1,131072,"Cmp0",128,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8970,124,"prep_kmeans","IB","HDD",12,50,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8971,1408,"wordcount","IB","HDD",12,50,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8972,3275,"sort","IB","HDD",12,50,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
8973,314,"prep_pagerank","IB","HDD",12,50,1,131072,"Cmp0",256,"Cl1","m1000-01",3,1,"linux",12,128,"on-premise","SYS-6027R-72RF","On-premise"
