"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
22044,1277,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22043,2803,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
22042,4004,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
22041,2542,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
22040,2721,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
22038,1244,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
22037,2739,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
22036,3937,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
22035,2906,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
22034,2753,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
22032,1261,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
22031,2649,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
22030,4213,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22029,2999,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22028,2676,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22026,1278,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22025,2801,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22024,4385,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
22023,2921,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
22022,2662,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
22020,1329,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
22019,3018,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
22018,4058,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22017,2961,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22016,2688,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22014,1280,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22013,2809,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
22012,4130,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
22011,2877,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
