"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
1677,1467,"kmeans","IB","HDD",12,50,1,65536,"None",32,"Local 1",1347.32523980975
4335,2853,"terasort","ETH","RL1",10,10,1,65536,"None",32,"Azure L",3058.83853777181
1712,1548,"kmeans","ETH","HDD",12,10,3,32768,"None",128,"Local 1",1660.59189926902
4097,2249,"terasort","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L",2572.18564747301
2059,7380,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",6801.71741566665
18612,2588,"kmeans","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L",2502.32295923084
21965,2600,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L",2510.19705211953
18731,4626,"dfsioe_write","ETH","RL2",8,10,3,65536,"Snappy",32,"Azure L",4294.37520751799
18296,3912,"dfsioe_read","ETH","RL2",8,10,1,65536,"None",64,"Azure L",3751.63360141946
530,3530,"terasort","IB","HDD",24,10,2,65536,"None",64,"Local 1",3943.05138182841
22150,4370,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",4045.90190530364
10710,2667,"pagerank","ETH","RL3",8,10,1,65536,"BZIP2",64,"Azure L",2658.83242602665
353,511,"wordcount","IB","SSD",24,10,3,65536,"None",64,"Local 1",459.422053978252
4147,5504,"terasort","ETH","R2",8,10,2,65536,"None",64,"Azure L",5433.37313226691
777,965,"terasort","IB","SSD",12,10,1,32768,"None",128,"Local 1",1025.46542772386
20085,1185,"dfsioe_write","ETH","RL1",8,10,1,65536,"ZLIB",128,"Azure L",1478.53828579272
1969,1362,"dfsioe_write","IB","HDD",12,10,1,65536,"Snappy",256,"Local 1",1595.22551924695
22162,4251,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L",3965.07348628705
114,556,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1",627.226373974242
1843,1458,"dfsioe_write","IB","HDD",12,10,1,65536,"None",32,"Local 1",1505.35345734306
1705,4006,"pagerank","ETH","HDD",12,5,3,65536,"None",64,"Local 1",3067.48675328862
11029,1320,"wordcount","ETH","RL3",8,10,3,65536,"BZIP2",32,"Azure L",1306.11833537958
4385,3111,"terasort","ETH","RL1",8,10,3,65536,"None",128,"Azure L",2835.42174719005
20197,2884,"pagerank","ETH","RL1",10,10,1,65536,"ZLIB",64,"Azure L",2738.92796181333
18219,4503,"dfsioe_write","ETH","RL3",10,10,3,65536,"ZLIB",256,"Azure L",4428.26224223106
18625,1395,"wordcount","ETH","RL2",10,10,2,65536,"Snappy",256,"Azure L",1291.73656414126
946,1023,"terasort","ETH","SSD",12,50,1,65536,"None",32,"Local 1",1053.15864894449
705,4531,"dfsioe_write","IB","HDD",24,10,3,65536,"None",64,"Local 1",4008.24491788315
98,3193,"terasort","IB","HDD",12,10,1,65536,"None",0,"Local 1",3791.16209241661
18388,2632,"kmeans","ETH","RL2",8,10,1,65536,"Snappy",128,"Azure L",2544.86832327477
21867,3238,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",64,"Azure L",3179.06908323696
1943,1007,"wordcount","IB","HDD",12,10,1,65536,"Snappy",32,"Local 1",951.074217327723
1262,4487,"terasort","IB","HDD",12,50,3,32768,"None",128,"Local 1",4313.62849468617
18504,1318,"dfsioe_write","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L",1575.20779227602
1266,3773,"terasort","IB","HDD",12,50,3,131072,"None",128,"Local 1",4313.62849468617
18538,2913,"dfsioe_read","ETH","RL2",10,10,2,65536,"None",256,"Azure L",2980.84368018636
18816,1283,"wordcount","ETH","RL2",10,10,3,65536,"BZIP2",32,"Azure L",1289.7393296092
381,612,"wordcount","IB","HDD",16,10,2,65536,"None",64,"Local 1",739.589875111458
956,1018,"terasort","ETH","SSD",12,5,3,131072,"None",256,"Local 1",1074.59972023093
10910,2834,"kmeans","ETH","RL3",8,10,2,65536,"None",256,"Azure L",2658.8779979989
11057,4512,"dfsioe_write","ETH","RL3",8,10,3,65536,"Snappy",64,"Azure L",4514.61781717604
1548,1122,"bayes","IB","HDD",12,20,1,32768,"None",128,"Local 1",1165.99144406407
4317,2767,"terasort","ETH","RL2",10,10,3,65536,"Snappy",128,"Azure L",2627.4910367026
18281,1286,"wordcount","ETH","RL2",8,10,1,65536,"None",64,"Azure L",1285.53045711628
1946,1096,"bayes","IB","HDD",12,10,1,65536,"Snappy",32,"Local 1",1113.39454497779
2086,1088,"bayes","ETH","HDD",12,10,1,65536,"Snappy",32,"Local 1",1113.39454497779
1125,3533,"terasort","IB","HDD",12,5,1,32768,"None",32,"Local 1",3883.51333695111
2138,1127,"kmeans","IB","SSD",12,10,1,65536,"None",256,"Local 1",1013.44821830772
2151,415,"dfsioe_write","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1",542.473956636951
