ID,Benchmark,Exe.Time,Running.Cost,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,End.time
4749,dfsioe_read,3516,2.6,ETH,RL2,8,10,2,65536,None,128,al-14,20141228201125
4748,kmeans,2327,0,ETH,HDD,10,10,1,65536,Snappy,32,al-15,20141228185404
4741,dfsioe_read,6768,0,ETH,HDD,10,10,1,65536,Snappy,64,al-15,20141228173404
4742,pagerank,1849,1.37,ETH,RL2,8,10,2,65536,None,64,al-14,20141228163000
4739,pagerank,2477,0,ETH,HDD,10,10,1,65536,Snappy,64,al-15,20141228151953
4740,kmeans,1328,0.98,ETH,RL2,8,10,2,65536,None,64,al-14,20141228151848
4736,dfsioe_read,3438,2.54,ETH,RL2,8,10,2,65536,None,32,al-14,20141228134722
4733,pagerank,1902,1.41,ETH,RL2,8,10,2,65536,None,32,al-14,20141228121513
4728,dfsioe_read,7204,0,ETH,HDD,10,10,1,65536,BZIP2,256,al-15,20141228110649
4722,kmeans,2424,0,ETH,HDD,10,10,1,65536,BZIP2,256,al-15,20141228075843
4720,dfsioe_read,3489,2.58,ETH,RL2,4,10,1,65536,Snappy,256,al-14,20141228071527
4718,dfsioe_read,7416,0,ETH,HDD,10,10,1,65536,BZIP2,128,al-15,20141228061400
4719,pagerank,2572,1.9,ETH,RL2,4,10,1,65536,Snappy,256,al-14,20141228055541
4717,kmeans,2328,1.72,ETH,RL2,4,10,1,65536,Snappy,256,al-14,20141228042948
4716,pagerank,2455,0,ETH,HDD,10,10,1,65536,BZIP2,128,al-15,20141228034820
4710,kmeans,2328,0,ETH,HDD,10,10,1,65536,BZIP2,128,al-15,20141228002838
4707,dfsioe_read,3691,2.73,ETH,RL2,4,10,1,65536,Snappy,32,al-14,20141227231042
4706,pagerank,2608,0,ETH,HDD,10,10,1,65536,BZIP2,64,al-15,20141227224158
4701,kmeans,2327,0,ETH,HDD,10,10,1,65536,BZIP2,64,al-15,20141227192247
4699,dfsioe_read,3678,2.72,ETH,RL2,4,10,1,65536,Snappy,64,al-14,20141227191130
4698,pagerank,2256,0,ETH,HDD,10,10,1,65536,BZIP2,32,al-15,20141227180713
4693,kmeans,2314,1.71,ETH,RL2,4,10,1,65536,Snappy,64,al-14,20141227153638
4691,kmeans,2313,0,ETH,HDD,10,10,1,65536,BZIP2,32,al-15,20141227145514
4687,dfsioe_read,5434,0,ETH,HDD,10,10,1,65536,BZIP2,64,al-15,20141227125805
4685,dfsioe_read,3464,2.56,ETH,RL2,4,10,1,65536,BZIP2,128,al-14,20141227114723
4683,pagerank,2520,1.86,ETH,RL2,4,10,1,65536,BZIP2,128,al-14,20141227102719
4677,dfsioe_read,7150,0,ETH,HDD,10,10,1,65536,ZLIB,256,al-15,20141227072709
4678,dfsioe_read,3572,2.64,ETH,RL2,4,10,1,65536,BZIP2,64,al-14,20141227064929
4676,pagerank,2437,1.8,ETH,RL2,4,10,1,65536,BZIP2,64,al-14,20141227052848
4675,pagerank,2415,0,ETH,HDD,10,10,1,65536,ZLIB,256,al-15,20141227050623
4670,kmeans,2500,0,ETH,HDD,10,10,1,65536,ZLIB,256,al-15,20141227024644
4668,dfsioe_read,3459,2.56,ETH,RL2,4,10,1,65536,BZIP2,32,al-14,20141227022355
4667,pagerank,2957,0,ETH,HDD,10,10,1,65536,ZLIB,128,al-15,20141227012828
4664,kmeans,1913,1.42,ETH,RL2,4,10,1,65536,BZIP2,32,al-14,20141226233850
4661,kmeans,2314,0,ETH,HDD,10,10,1,65536,ZLIB,128,al-15,20141226220421
4659,dfsioe_read,3755,2.78,ETH,RL2,4,10,1,65536,BZIP2,64,al-14,20141226215553
4658,pagerank,2534,1.88,ETH,RL2,4,10,1,65536,BZIP2,64,al-14,20141226203023
4656,dfsioe_read,6184,0,ETH,HDD,10,10,1,65536,ZLIB,64,al-15,20141226201809
4653,kmeans,2330,1.72,ETH,RL2,4,10,1,65536,BZIP2,64,al-14,20141226172907
4651,kmeans,2339,0,ETH,HDD,10,10,1,65536,ZLIB,64,al-15,20141226163959
4649,dfsioe_read,3550,2.63,ETH,RL2,4,10,1,65536,ZLIB,256,al-14,20141226154749
4644,kmeans,2310,1.71,ETH,RL2,4,10,1,65536,ZLIB,256,al-14,20141226134324
4642,dfsioe_read,5398,0,ETH,HDD,10,10,1,65536,ZLIB,64,al-15,20141226132823
4639,pagerank,2298,0,ETH,HDD,10,10,1,65536,ZLIB,64,al-15,20141226113620
4631,dfsioe_read,5979,0,ETH,HDD,10,10,1,65536,None,256,al-15,20141226072139
4630,dfsioe_read,3742,2.77,ETH,RL2,4,10,1,65536,ZLIB,64,al-14,20141226060550
4629,pagerank,2491,0,ETH,HDD,10,10,1,65536,None,256,al-15,20141226052009
4628,pagerank,2416,1.79,ETH,RL2,4,10,1,65536,ZLIB,64,al-14,20141226044206
4623,kmeans,2320,1.72,ETH,RL2,4,10,1,65536,ZLIB,64,al-14,20141226013928
4621,dfsioe_read,7353,0,ETH,HDD,10,10,1,65536,None,128,al-15,20141226011806
4620,dfsioe_read,3536,2.62,ETH,RL2,4,10,1,65536,None,256,al-14,20141225235744
4619,pagerank,2234,0,ETH,HDD,10,10,1,65536,None,128,al-15,20141225225248
4617,pagerank,2562,1.9,ETH,RL2,4,10,1,65536,None,256,al-14,20141225223726
4614,kmeans,2302,0,ETH,HDD,10,10,1,65536,None,128,al-15,20141225203934
4611,kmeans,2328,1.72,ETH,RL2,4,10,1,65536,None,256,al-14,20141225193447
4609,pagerank,2489,1.84,ETH,RL2,4,10,1,65536,None,128,al-14,20141225181826
4608,kmeans,2329,0,ETH,HDD,10,10,1,65536,None,64,al-15,20141225173648
4603,pagerank,2463,1.82,ETH,RL2,4,10,1,65536,None,64,al-14,20141225152330
4600,kmeans,2316,0,ETH,HDD,10,10,1,65536,None,32,al-15,20141225132425
4597,dfsioe_read,3340,2.47,ETH,RL2,4,10,1,65536,None,32,al-14,20141225125437
4594,pagerank,8774,6.49,ETH,RL2,4,10,1,65536,None,32,al-14,20141225113520
4591,dfsioe_read,7144,0,ETH,HDD,6,10,1,65536,Snappy,256,al-15,20141225090459
4588,dfsioe_read,3437,2.54,ETH,RL2,4,10,1,65536,None,64,al-14,20141225060417
4586,kmeans,2447,0,ETH,HDD,6,10,1,65536,Snappy,256,al-15,20141225050953
4584,pagerank,2540,1.88,ETH,RL2,4,10,1,65536,None,64,al-14,20141225044442
4581,dfsioe_read,6089,0,ETH,HDD,6,10,1,65536,Snappy,128,al-15,20141225032747
4580,kmeans,2315,1.71,ETH,RL2,4,10,1,65536,None,64,al-14,20141225014202
4579,pagerank,2172,0,ETH,HDD,6,10,1,65536,Snappy,128,al-15,20141225012518
4577,dfsioe_read,3607,2.67,ETH,RL2,10,10,1,65536,Snappy,256,al-14,20141225001939
